k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
20534,41.068000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20535,41.070000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20536,41.072000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20537,41.074000,50,380,534,429.301198,511.355250,-49.301198,22.644750
20538,41.076000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20539,41.078000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20540,41.080000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20541,41.082000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20542,41.084000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20543,41.086000,50,381,535,429.301198,511.355250,-48.301198,23.644750
20544,41.088000,50,381,534,429.301198,511.355250,-48.301198,22.644750
20545,41.090000,50,382,534,429.301198,511.355250,-47.301198,22.644750
20546,41.092000,50,382,534,429.301198,511.355250,-47.301198,22.644750
20547,41.094000,50,382,535,429.301198,511.355250,-47.301198,23.644750
20548,41.096000,50,382,535,429.301198,511.355250,-47.301198,23.644750
20549,41.098000,50,383,535,429.301198,511.355250,-46.301198,23.644750
20550,41.100000,50,383,535,429.301198,511.355250,-46.301198,23.644750
20551,41.102000,50,383,536,429.301198,511.355250,-46.301198,24.644750
20552,41.104000,50,383,535,429.301198,511.355250,-46.301198,23.644750
20553,41.106000,50,383,534,429.301198,511.355250,-46.301198,22.644750
20554,41.108000,50,383,535,429.301198,511.355250,-46.301198,23.644750
20555,41.110000,50,384,535,429.301198,511.355250,-45.301198,23.644750
20556,41.112000,50,384,535,429.301198,511.355250,-45.301198,23.644750
20557,41.114000,50,385,535,429.301198,511.355250,-44.301198,23.644750
20558,41.116000,50,385,535,429.301198,511.355250,-44.301198,23.644750
20559,41.118000,50,386,536,429.301198,511.355250,-43.301198,24.644750
20560,41.120000,50,387,536,429.301198,511.355250,-42.301198,24.644750
20561,41.122000,50,387,536,429.301198,511.355250,-42.301198,24.644750
20562,41.124000,50,387,534,429.301198,511.355250,-42.301198,22.644750
20563,41.126000,50,387,535,429.301198,511.355250,-42.301198,23.644750
20564,41.128000,50,388,535,429.301198,511.355250,-41.301198,23.644750
20565,41.130000,50,388,535,429.301198,511.355250,-41.301198,23.644750
20566,41.132000,50,388,535,429.301198,511.355250,-41.301198,23.644750
20567,41.134000,50,390,536,429.301198,511.355250,-39.301198,24.644750
20568,41.136000,50,390,536,429.301198,511.355250,-39.301198,24.644750
20569,41.138000,50,390,536,429.301198,511.355250,-39.301198,24.644750
20570,41.140000,50,391,536,429.301198,511.355250,-38.301198,24.644750
20571,41.142000,50,391,535,429.301198,511.355250,-38.301198,23.644750
20572,41.144000,50,391,535,429.301198,511.355250,-38.301198,23.644750
20573,41.146000,50,392,535,429.301198,511.355250,-37.301198,23.644750
20574,41.148000,50,393,536,429.301198,511.355250,-36.301198,24.644750
20575,41.150000,50,395,539,429.301198,511.355250,-34.301198,27.644750
20576,41.152000,50,395,536,429.301198,511.355250,-34.301198,24.644750
20577,41.154000,50,395,536,429.301198,511.355250,-34.301198,24.644750
20578,41.156000,50,395,536,429.301198,511.355250,-34.301198,24.644750
20579,41.158000,50,397,536,429.301198,511.355250,-32.301198,24.644750
20580,41.160000,50,398,535,429.301198,511.355250,-31.301198,23.644750
20581,41.162000,50,398,535,429.301198,511.355250,-31.301198,23.644750
20582,41.164000,50,398,535,429.301198,511.355250,-31.301198,23.644750
20583,41.166000,50,399,536,429.301198,511.355250,-30.301198,24.644750
20584,41.168000,50,399,536,429.301198,511.355250,-30.301198,24.644750
20585,41.170000,50,400,536,429.301198,511.355250,-29.301198,24.644750
20586,41.172000,50,401,536,429.301198,511.355250,-28.301198,24.644750
20587,41.174000,50,402,535,429.301198,511.355250,-27.301198,23.644750
20588,41.176000,50,402,535,429.301198,511.355250,-27.301198,23.644750
20589,41.178000,50,402,535,429.301198,511.355250,-27.301198,23.644750
20590,41.180000,50,403,535,429.301198,511.355250,-26.301198,23.644750
20591,41.182000,50,404,535,429.301198,511.355250,-25.301198,23.644750
20592,41.184000,50,405,535,429.301198,511.355250,-24.301198,23.644750
20593,41.186000,50,405,533,429.301198,511.355250,-24.301198,21.644750
20594,41.188000,50,406,537,429.301198,511.355250,-23.301198,25.644750
20595,41.190000,50,408,536,429.301198,511.355250,-21.301198,24.644750
20596,41.192000,50,408,536,429.301198,511.355250,-21.301198,24.644750
20597,41.194000,50,408,536,429.301198,511.355250,-21.301198,24.644750
20598,41.196000,50,409,536,429.301198,511.355250,-20.301198,24.644750
20599,41.198000,50,410,535,429.301198,511.355250,-19.301198,23.644750
20600,41.200000,50,410,535,429.301198,511.355250,-19.301198,23.644750
20601,41.202000,50,412,536,429.301198,511.355250,-17.301198,24.644750
20602,41.204000,50,412,537,429.301198,511.355250,-17.301198,25.644750
20603,41.206000,50,412,536,429.301198,511.355250,-17.301198,24.644750
20604,41.208000,50,413,537,429.301198,511.355250,-16.301198,25.644750
20605,41.210000,50,414,536,429.301198,511.355250,-15.301198,24.644750
